ModelRoot,root
ModelRoot_mesh,root_mesh
操作中心,operation_center
全ての親,root
センター,center
グルーブ,groove
グルーブ2,groove2
腰,waist
下半身,lower_body
腰キャンセル左,waist_cancel_L
左足,leg_L
左ひざ,knee_L
左足首,ankle_L
左つま先,toe_L
左足D,leg_D_L
左ひざD,knee_D_L
左足首D,ankle_D_L
左足先EX,toe_EX_L
腰キャンセル右,waist_cancel_R
右足,leg_R
右ひざ,knee_R
右足首,ankle_R
右つま先,toe_R
右足D,leg_D_R
右ひざD,knee_D_R
右足首D,ankle_D_R
右足先EX,toe_EX_R
左足調整1,leg_adjust1_L
左足調整2,leg_adjust2_L
左足調整3,leg_adjust3_L
右足調整1,leg_adjust1_R
右足調整2,leg_adjust2_R
右足調整3,leg_adjust3_R
Bone_Pelvis_M,Bone_Pelvis_M
上半身,upper_body
葫芦,gourd
上半身3,upper_body3
上半身2,upper_body2
首,neck
頭,head
Bone_Hair007_R,Bone_Hair007_R
Bone_Hair008_R,Bone_Hair008_R
Bone_Hair009_R,Bone_Hair009_R
Bone_Hair010_R,Bone_Hair010_R
Bone_Hair010_R先,Bone_Hair010_R_tip
Bone_Hair004_R,Bone_Hair004_R
Bone_Hair005_R,Bone_Hair005_R
Bone_Hair006_R,Bone_Hair006_R
Bone_Hair006_R先,Bone_Hair006_R_tip
Bone_Hair001_R,Bone_Hair001_R
Bone_Hair002_R,Bone_Hair002_R
Bone_Hair003_R,Bone_Hair003_R
Bone_Hair003_R先,Bone_Hair003_R_tip
Bone_Hair001_M,Bone_Hair001_M
Bone_Hair002_M,Bone_Hair002_M
Bone_Hair003_M,Bone_Hair003_M
Bone_Hair003_M先,Bone_Hair003_M_tip
Bone_Hair004_M,Bone_Hair004_M
Bone_Hair005_M,Bone_Hair005_M
Bone_Hair006_M,Bone_Hair006_M
Bone_Hair006_M先,Bone_Hair006_M_tip
Bone_Hair001_L,Bone_Hair001_L
Bone_Hair002_L,Bone_Hair002_L
Bone_Hair003_L,Bone_Hair003_L
Bone_Hair003_L先,Bone_Hair003_L_tip
Bone_Hair011_L,Bone_Hair011_L
Bone_Hair012_L,Bone_Hair012_L
Bone_Hair013_L,Bone_Hair013_L
Bone_Hair014_L,Bone_Hair014_L
Bone_Hair014_L先,Bone_Hair014_L_tip
Bone_Hair015_L,Bone_Hair015_L
Bone_Hair016_L,Bone_Hair016_L
Bone_Hair017_L,Bone_Hair017_L
Bone_Hair017_L先,Bone_Hair017_L_tip
左侧发1,side_hair1_L
左侧发2,side_hair2_L
左侧发3,side_hair3_L
左侧发4,side_hair4_L
左侧发5,side_hair5_L
左侧发6,side_hair6_L
左侧发7,side_hair7_L
左侧发8,side_hair8_L
左侧发9,side_hair9_L
左侧发10,side_hair10_L
左侧发11,side_hair11_L
左侧发12,side_hair12_L
左侧发13,side_hair13_L
右侧发1,side_hair1_R
右侧发2,side_hair2_R
右侧发3,side_hair3_R
右侧发4,side_hair4_R
右侧发5,side_hair5_R
右侧发6,side_hair6_R
右侧发7,side_hair7_R
右侧发8,side_hair8_R
右侧发9,side_hair9_R
右侧发10,side_hair10_R
右侧发11,side_hair11_R
右侧发12,side_hair12_R
右侧发13,side_hair13_R
Bone_Piao063_R,Bone_Piao063_R
Bone_Piao064_R,Bone_Piao064_R
Bone_Piao064_R先,Bone_Piao064_R_tip
Bone_Piao061_R,Bone_Piao061_R
Bone_Piao062_R,Bone_Piao062_R
Bone_Piao062_R先,Bone_Piao062_R_tip
缎带A1,ribbonA1
缎带A2,ribbonA2
缎带A3,ribbonA3
缎带A4,ribbonA4
缎带A5,ribbonA5
缎带A6,ribbonA6
缎带A7,ribbonA7
缎带B1,ribbonB1
缎带B2,ribbonB2
缎带B3,ribbonB3
缎带B4,ribbonB4
缎带B5,ribbonB5
缎带B6,ribbonB6
缎带B7,ribbonB7
左发A1,hairA1_L
左发A2,hairA2_L
左发A3,hairA3_L
左发A4,hairA4_L
左发A5,hairA5_L
左发A6,hairA6_L
左发A7,hairA7_L
左发A8,hairA8_L
左发A9,hairA9_L
左发A10,hairA10_L
左发A11,hairA11_L
左发A12,hairA12_L
左发A13,hairA13_L
左发A14,hairA14_L
左发A15,hairA15_L
左发A16,hairA16_L
左发A17,hairA17_L
左发A1_1,hairA1_1_L
左发A1_2,hairA1_2_L
左发A1_3,hairA1_3_L
左发A1_4,hairA1_4_L
左发A1_5,hairA1_5_L
左发A1_6,hairA1_6_L
左发A1_7,hairA1_7_L
左发A1_8,hairA1_8_L
左发A1_9,hairA1_9_L
左发A1_10,hairA1_10_L
左发A1_11,hairA1_11_L
左发A1_12,hairA1_12_L
左发A2_1,hairA2_1_L
左发A2_2,hairA2_2_L
左发A2_3,hairA2_3_L
左发A2_4,hairA2_4_L
左发A2_5,hairA2_5_L
左发A2_6,hairA2_6_L
左发A2_7,hairA2_7_L
左发A2_8,hairA2_8_L
左发A2_9,hairA2_9_L
左发A2_10,hairA2_10_L
左发A2_11,hairA2_11_L
左发A2_12,hairA2_12_L
左发B1,hairB1_L
左发B2,hairB2_L
左发B3,hairB3_L
左发B4,hairB4_L
左发B5,hairB5_L
左发B6,hairB6_L
左发B7,hairB7_L
左发B8,hairB8_L
左发B9,hairB9_L
左发B10,hairB10_L
左发B11,hairB11_L
左发C1,hairC1_L
左发C2,hairC2_L
左发C3,hairC3_L
左发C4,hairC4_L
左发C5,hairC5_L
左发C6,hairC6_L
左发C7,hairC7_L
左发C8,hairC8_L
左发C9,hairC9_L
左发C10,hairC10_L
左发C11,hairC11_L
左发C12,hairC12_L
左发C13,hairC13_L
左发C14,hairC14_L
左发C15,hairC15_L
左发C16,hairC16_L
左发C17,hairC17_L
左发D1,hairD1_L
左发D2,hairD2_L
左发D3,hairD3_L
左发D4,hairD4_L
